Equity,KCB,UCHUMI,BAMBURI,BAT,EABL,SASINI,SAFAR,NMG,SCB,MARKET
4.72,4.35,2,5,5.83,1.87,6.69,2.87,3.16,4.11,4.06
4.93,4.23,2.02,5,5.52,1.84,6.56,2.64,3.18,4.08,4
4.48,4.23,2.08,5,5.52,1.9,6.25,2.7,3.18,4.44,3.978
4.14,4.02,2.08,5,5.81,1.94,5.57,2.49,3.09,4.11,3.825
3.89,3.67,2.48,5.12,5.7,2.12,5.28,2.82,3.16,4.25,3.849
3.3,3.7,2.39,5.12,6,2.12,1.45,2.62,3.23,4.25,3.418
3.28,3.54,2.32,5.07,5.96,2.26,1.45,2.63,3.24,4.36,3.411
3.21,3.51,2.4,5.07,5.6,2.25,1.47,2.72,3.3,4.19,3.372
3.02,3.48,2.41,5.1,6.4,2.08,1.47,2.64,3.18,4.19,3.397
3.26,3.45,3.33,5.34,6.25,2.12,1.41,2.57,3.17,4.14,3.504
2.97,3.42,3.26,5.31,6,2.12,1.44,2.46,3.15,4.15,3.428
3,3.45,3.21,5.42,5.97,2.04,1.44,2.52,3.18,4.07,3.43
3.14,3.48,3.02,5.3,5.85,2.11,1.46,2.5,3.25,4.06,3.417
3.14,3.48,3.02,5.5,6.43,2.08,1.49,2.43,3.25,4.55,3.537
3.94,4.34,1.69,5.64,6.49,2.08,1.47,2.35,3.21,4.63,3.584
3.79,4.15,1.73,5.95,6.83,1.94,1.51,2.38,3.23,4.14,3.565
3.91,4.32,1.6,5.95,6.67,1.88,1.44,2.37,3.24,4.57,3.595
4.65,4.57,1.66,6.47,6.48,1.85,1.48,2.41,3.24,4.69,3.75
3.96,4,1.54,6.29,6.17,1.84,1.47,3.66,3.23,4.75,3.691
3.76,4.15,1.43,6.29,6.17,1.85,1.45,3.63,3.11,4.69,3.653
3.88,4.39,1.58,6.36,6.17,1.97,1.47,3.63,3.16,4.66,3.727
3.88,3.92,1.58,6.4,6.17,1.94,1.57,3.67,3.18,4.65,3.696
4.03,3.92,1.67,6.4,6.18,1.96,1.53,3.64,3.21,4.69,3.723
3.3,3.7,2.44,6.01,6.17,1.96,1.54,3.67,3.23,4.66,3.668
3.45,3.77,2.4,6.29,6.19,1.91,1.57,3.78,3.24,4.68,3.728
3.26,4.06,2.52,6.4,6.05,1.98,1.59,3.7,3.22,4.68,3.746
3.35,4,2.67,6.21,5.44,1.9,1.57,3.79,3.26,4.68,3.687
3.59,4.02,2.39,6.32,5.44,1.83,1.68,3.88,3.36,4.6,3.711
3.51,4,2.26,6.29,5.69,1.87,1.64,3.85,3.25,4.69,3.705
